Titulo,Facturacion
Barbie,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Super Mario Bros. Movie,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Avatar: The Way of Water,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Oppenheimer,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Elemental,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Fast X,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Championext,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Little Mermaid,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Meg 2: The Trench,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Indiana Jones and the Dial of Destiny,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Guardians of the Galaxy Vol. 3,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Napoleon,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
A Moroccan Affair,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Spider-Man: Across the Spider-Verse,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Wonka,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Puss in Boots: The Last Wish,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Hunger Games: The Ballad of Songbirds & Snakes,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Vacaciones de verano,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Nun II,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Mummies,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Wish,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Five Nights at Freddy's,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Ant-Man and the Wasp: Quantumania,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Killers of the Flower Moon,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Creed III,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Equalizer 3,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Trolls Band Together,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
One Hell of a Holiday!,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
A Haunting in Venice,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
John Wick: Chapter 4,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Insidious: The Red Door,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Mari(dos),"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Gran Turismo,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Evil Dead Rise,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Exorcist: Believer,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
La Navidad en sus manos,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Flash,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Dungeons & Dragons: Honor Among Thieves,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Beasts,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
M3GAN,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
PAW Patrol: The Mighty Movie,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Transformers: Rise of the Beasts,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Creator,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Aquaman and the Lost Kingdom,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Marvels,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Pope's Exorcist,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Sound of Freedom,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Saw X,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Talk to Me,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Babylon,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
El hotel de los líos. García y García 2,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Como Dios manda,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Scream VI,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Ruby Gillman: Teenage Kraken,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Whale,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
A Man Called Otto,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Migration,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Kids Are Alright 2,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Fabelmans,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Taylor Swift: The Eras Tour,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Blue Beetle,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Operation Fortune: Ruse de Guerre,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Air,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Communion Girl,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Haunted Mansion,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Boy and the Heron,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Coup de Chance,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Teacher Who Promised the Sea,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
My Loneliness Has Wings,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Alimañas,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Knock at the Cabin,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Shazam! Fury of the Gods,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
No Hard Feelings,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Expendables 4,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
After Everything,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Titanic25 Year Anniversary,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Boogeyman,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Past Lives,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Triangle of Sadness,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
65,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Anatomy of a Fall,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Banshees of Inisherin,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
All the Names of God,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Fatum,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Irati,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Me he hecho viral,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
"20,000 Species of Bees","<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Plane,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Everything Everywhere All at Once,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Amazing Maurice,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Tár,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Asteroid City,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Jokes & Cigarettes,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Un Amor,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Thanksgiving,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Cocaine Bear,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Hypnotic,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
"Last Call, Rio!","<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Three Musketeers - Part I: D'Artagnan,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Prey for the Devil,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Asterix & Obelix: The Middle Kingdom,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Suzume,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Just One Small Favor,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Mi otro Jon,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Cobweb,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Free,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Love & Revolution,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Living,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Chinas,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Epic Tails,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Close Your Eyes,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Mavka: The Forest Song,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Missing,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Master Gardener,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
A Brighter Tomorrow,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Strays,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
Esta ambición desmedida,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
The Old Oak,"<td class=""a-text-right mojo-field-type-duration hidden"">-</td>"
